Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore,Hour,hr_min,Min,RunTime_min
Blade Runner,1982,R,1h 57m,8,30000000,41722424,Ridely Scott,84,1,60,57,117
American History X,1998,R,1h 59m,8,20000000,23875127,Tony Kaye,62,1,60,59,119
Spotlight,2015,R,2h 9m,8,20000000,98690254,Tom McCarthy,93,2,120,9,129
Groundhog Day,1993,PG,1h 41m,8,14600000,71108591,Harold Ramis,72,1,60,41,101
Goodfellas,1990,R,2h 25m,8,25000000,47036784,Martin Scorsese,90,2,120,25,145
Amélie,2001,R,2h 2m,8,10000000,174118254,Jean-Pierre Jeunet,69,2,120,2,122
Seven Samurai,1954,Not Rated,3h 27m,8,125000000,346258,Akira Kurosawa,98,3,180,27,207
It's a Wonderful Life,1946,PG,2h 10m,8,3180000,6184298,Frank Capra,89,2,120,10,130
2001: A Space Odyssey,1968,G,2h 29m,8,12000000,65877808,Stanley Kubrick,84,2,120,29,149
Room,2015,R,1h 58m,8,13000000,35401758,Lenny Abrahamson,86,1,60,58,118
Mr. Smith Goes to Washington,1939,Passed,2h 9m,8,1900000,144738,Frank Capra,73,2,120,9,129
The Great Escape,1963,Approved,2h 52m,8,4000000,228178,John Sturges,86,2,120,52,172
Spider-Man: Into the Spider-Verse,2018,PG,1h 57m,8,90000000,375540831,Bob Persichetti,87,1,60,57,117
The Godfather: Part II,1974,R,3h 22m,9,13000000,47961010,Francis Ford Coppola,90,3,180,22,202
Raging Bull,1980,R,2h 9m,8,18000000,23402427,Martin Scorsese,89,2,120,9,129
Fight Club,1999,R,2h 19m,8,63000000,101209702,David Fincher,66,2,120,19,139
The Pianist,2002,R,2h 30m,8,35000000,120072577,Roman Polanski,85,2,120,30,150
Amadeus,1984,PG,2h 40m,8,18000000,52066791,Milos Forman,88,2,120,40,160
Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,8,20000000,74036715,Michel Gondry,89,1,60,48,108
Ford v Ferrari,2019,PG-13,2h 32m,8,97600000,225508210,James Mangold,81,2,120,32,152
The Bridge on the River Kwai,1957,PG,2h 41m,8,3000000,27200000,David Lean,87,2,120,41,161
Cinema Paradiso,1988,PG,2h 35m,8,5000000,13019063,Giuseppe Tornatore,80,2,120,35,155
Parasite,2019,R,2h 12m,8,11400000,263136741,Bong Joon Ho,96,2,120,12,132
